dataset_index,cid,gt_atom_count,pred_atom_count,atom_xy_mae,bond_map_mae,type_map_mae,atom_center_score_r3,typed_center_score_r3,type_top1_local_acc_r3,atom_type_macro_f1_2d,ch_collapse_rate_2d,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
0,99458391,42,54,0.37410372495651245,0.3810250163078308,0.4518437385559082,0.5824244625511623,0.24304125812791644,0.09523809523809523,0.060259740259740256,0.0,0.30091035067481714,0.5783694595205164,12.0,0.7777777777777778,0.5797624532823209,0.09523809523809523,0.04081632653061224,0.2641509433962264,0.4183006535947712,0.6666666666666665,0.19047619047619047,0.4018431271879821,0.1343722939491272,0.10527479648590088,
1,99458405,37,64,0.37520453333854675,0.38254985213279724,0.4528867304325104,0.6205879288750726,0.26159234103318807,0.02702702702702703,0.012987012987012988,0.0,0.28949576282573897,0.6009259783457712,27.0,0.578125,0.5766899776645005,0.13513513513513514,0.03968253968253969,0.25925925925925924,0.4666666666666667,0.8421052631578948,0.3783783783783784,0.36765294312169317,0.11158664524555206,0.07202322781085968,
2,9946087,42,64,0.3710361421108246,0.3791489005088806,0.452543169260025,0.5994277043001992,0.22775860804887044,0.07142857142857142,0.03296703296703297,0.0,0.28586137001542233,0.597179195001726,22.0,0.65625,0.6015578415244818,0.14285714285714285,0.06507936507936508,0.16666666666666666,0.4180790960451977,0.7692307692307693,0.30952380952380953,0.3567393899650255,0.13245268166065216,0.0010572562459856272,
3,99463835,41,50,0.37879082560539246,0.3821210563182831,0.45214900374412537,0.6224429687348808,0.25397046528211453,0.04878048780487805,0.03496503496503496,0.0,0.33685790181920094,0.49398262958680306,9.0,0.8200000000000001,0.6028094041347504,0.12195121951219512,0.06302521008403361,0.4651162790697674,0.35428571428571426,0.0,0.0975609756097561,0.43462829783076024,0.22115544974803925,0.09218965470790863,
4,99463957,35,64,0.37570804357528687,0.38116270303726196,0.4525892734527588,0.6075880536011287,0.2742980867624283,0.11428571428571428,0.07359307359307359,0.0,0.2761124109312683,0.5929357631035354,29.0,0.546875,0.5825504860840738,0.02857142857142857,0.009852216748768471,0.36666666666666664,0.504201680672269,0.7368421052631577,0.3142857142857143,0.38849311491838123,0.09749358147382736,0.11650823056697845,
5,99466646,38,62,0.37493646144866943,0.3813498318195343,0.453197181224823,0.5517156963285647,0.22312803056679273,0.07894736842105263,0.03896103896103896,0.0,0.2756823878266854,0.5919331786768498,24.0,0.6129032258064516,0.5236364607849429,0.15789473684210525,0.05042016806722689,0.1509433962264151,0.4268292682926829,0.8181818181818181,0.34210526315789475,0.34288876321278033,0.1108265146613121,0.11210526525974274,
6,99467765,45,64,0.3908812403678894,0.3912178575992584,0.45403510332107544,0.548410568634669,0.22654977639516194,0.08888888888888889,0.05333333333333333,0.0,0.2817568040035151,0.5012423759557819,19.0,0.703125,0.5626158746890724,0.15555555555555556,0.04545454545454546,0.20408163265306123,0.3478260869565218,0.888888888888889,0.13333333333333333,0.34742761605630396,0.20410579442977905,0.09301184862852097,
7,99470937,40,55,0.38005444407463074,0.38639459013938904,0.453264057636261,0.5863756164908409,0.2463525116443634,0.1,0.04395604395604395,0.0,0.30751133306035144,0.5827283617060679,15.0,0.7272727272727273,0.5898449697277762,0.175,0.04878048780487805,0.25,0.38961038961038963,0.8421052631578948,0.25,0.3779379157427938,0.14206796884536743,0.060573745518922806,
8,99471544,46,64,0.39180463552474976,0.3914230763912201,0.4535920023918152,0.563131452254627,0.23090715171850246,0.10869565217391304,0.0819047619047619,0.0,0.2765396928481271,0.5086980486401939,18.0,0.71875,0.5880563068203628,0.15217391304347827,0.056910569105691054,0.19230769230769232,0.30526315789473685,1.0,0.08695652173913043,0.3363732575458346,0.1931065171957016,0.09044405072927475,
9,99471622,41,64,0.3955555558204651,0.3959956765174866,0.4552236497402191,0.6038549338899007,0.262957199317653,0.07317073170731707,0.03428571428571428,0.0,0.27662174298283243,0.5542148934567898,23.0,0.640625,0.5817390829324722,0.12195121951219512,0.04081632653061224,0.18181818181818182,0.4275862068965517,0.7999999999999999,0.2926829268292683,0.3543383240835519,0.1343495398759842,0.18507817387580872,
10,9947653,44,64,0.3974127173423767,0.39609378576278687,0.45524054765701294,0.5984089523553848,0.25448368015614425,0.13636363636363635,0.06349206349206347,0.0,0.291347661298379,0.5821320737278773,20.0,0.6875,0.5702061732299626,0.13636363636363635,0.05555555555555556,0.14285714285714285,0.46540880503144644,0.8,0.29545454545454547,0.37445062144354596,0.13292856514453888,0.1123276799917221,
11,99477,18,41,0.34741640090942383,0.3650168776512146,0.45140814781188965,0.6204341020849016,0.27788932787047493,0.2222222222222222,0.11011904761904763,0.0,0.2641849297059307,0.6787727236891234,23.0,0.4390243902439024,0.5567093288026205,0.1111111111111111,0.044444444444444446,0.15789473684210528,0.5507246376811594,0.7333333333333334,0.6111111111111112,0.3429775570066913,0.042148321866989136,0.0004611111362464726,
12,9947798,32,64,0.35958221554756165,0.37315815687179565,0.4520278573036194,0.6458697225898504,0.2876265747472644,0.25,0.11975308641975309,0.0,0.31022363130420416,0.6878900034514935,32.0,0.5,0.595650517847389,0.28125,0.08771929824561404,0.08333333333333334,0.5254237288135594,0.75,0.53125,0.3431088314005353,0.06271061301231384,0.0009148437529802322,
