dataset_index,cid,gt_atom_count,pred_atom_count,atom_xy_mae,bond_map_mae,type_map_mae,atom_center_score_r3,typed_center_score_r3,type_top1_local_acc_r3,atom_type_macro_f1_2d,ch_collapse_rate_2d,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
0,99458391,42,64,0.09737495332956314,0.06511986255645752,0.015647515654563904,0.44226656428405214,0.10929316166714811,0.2857142857142857,0.17852389594676343,0.0,0.33328136482430265,0.4346185601918043,22.0,0.65625,1.0,0.3333333333333333,0.12210526315789474,0.14814814814814814,0.27433628318584075,1.0,0.14285714285714285,0.31413088137625284,0.3011019229888916,0.10527479648590088,
1,99458405,37,64,0.10167594999074936,0.06178652495145798,0.015691477805376053,0.579697973019368,0.1895264177436815,0.21621621621621623,0.1098124098124098,0.0,0.3482844453674775,0.5397040031661796,27.0,0.578125,1.0,0.43243243243243246,0.1233201581027668,0.11764705882352941,0.3057324840764331,0.8,0.16216216216216217,0.2997310628120108,0.2144285887479782,0.07202322781085968,
2,9946087,42,64,0.09418652206659317,0.06274957954883575,0.015315329656004906,0.46378785868485767,0.11948848462145004,0.21428571428571427,0.07443609022556393,0.0,0.37979751832538333,0.5016787356600697,22.0,0.65625,1.0,0.4523809523809524,0.18332390115072628,0.16,0.288,1.0,0.09523809523809523,0.3335272802301452,0.274791955947876,0.0010572562459856272,
3,99463835,41,64,0.11569412797689438,0.07078410685062408,0.016690630465745926,0.5427555812568199,0.16162079079793,0.17073170731707318,0.05844155844155844,0.0,0.4147498874765826,0.46024092984915227,23.0,0.640625,1.0,0.43902439024390244,0.22230046948356808,0.4210526315789474,0.2564102564102564,0.6666666666666666,0.0975609756097561,0.37857045995609284,0.28969883918762207,0.09218963980674744,
4,99463957,35,64,0.10235673189163208,0.057300008833408356,0.015323569066822529,0.42233158094542367,0.10422445315747787,0.17142857142857143,0.083994708994709,0.0,0.28469888695470574,0.44133609406093205,29.0,0.546875,1.0,0.22857142857142856,0.07635960044395115,0.1818181818181818,0.2649006622516556,1.0,0.05714285714285714,0.281069538240506,0.2640705704689026,0.11650824546813965,
5,99466646,38,64,0.08981184661388397,0.056713223457336426,0.01525312103331089,0.46253675849814163,0.16573387452269708,0.2894736842105263,0.15190124632849092,0.0,0.35931649573147495,0.477490755890545,26.0,0.59375,1.0,0.3157894736842105,0.1929847494553377,0.2580645161290322,0.31999999999999995,0.8,0.15789473684210525,0.350647353116874,0.25483161211013794,0.11210526525974274,
6,99467765,45,64,0.12370207160711288,0.07552216947078705,0.01733209937810898,0.5028189924028185,0.14750321533860655,0.28888888888888886,0.15635345047109753,0.0,0.34642937862241413,0.4624772181661649,19.0,0.703125,1.0,0.37777777777777777,0.10671885192433139,0.13333333333333333,0.27586206896551724,0.6666666666666666,0.08888888888888889,0.32034341118946397,0.2872788906097412,0.09301184117794037,
7,99470937,40,64,0.09889457374811172,0.06591179966926575,0.016568943858146667,0.602816166728735,0.23250304246773826,0.375,0.1953823953823954,0.0,0.366657161314138,0.48541020370153487,24.0,0.625,1.0,0.475,0.17587301587301588,0.125,0.2511627906976744,0.6666666666666666,0.1,0.30433157991878923,0.27389946579933167,0.060573745518922806,
8,99471544,46,64,0.12272171676158905,0.07519422471523285,0.017201732844114304,0.5154511598141297,0.18137352823193384,0.2608695652173913,0.1342268607893608,0.0,0.3482418879217333,0.42904134121360177,18.0,0.71875,1.0,0.34782608695652173,0.13250517598343686,0.09999999999999999,0.30985915492957744,0.8,0.10869565217391304,0.3346392394220395,0.3233976364135742,0.09044404327869415,
9,99471622,41,64,0.09742219746112823,0.06674627214670181,0.016368815675377846,0.5914253170897321,0.24543384769555626,0.3170731707317073,0.12908432147562582,0.0,0.3692518071190327,0.4676793162005629,23.0,0.640625,1.0,0.4878048780487805,0.15133333333333332,0.15384615384615383,0.2393162393162393,0.6666666666666666,0.12195121951219512,0.3049528311965812,0.2684357166290283,0.18507817387580872,
