dataset_index,cid,gt_atom_count,pred_atom_count,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
0,9877463,18,17,0.5593045636823465,0.4916005105678757,1.0,0.9444444444444444,0.647003922951626,0.47058823529411764,0.3140096618357488,0.3333333333333333,0.7741935483870968,1.0,0.6111111111111112,0.6365474520804113,0.3331735134124756,0.19368942081928253,
1,9877464,16,17,0.4343594559762232,0.366375188823097,1.0,0.9411764705882353,0.4704317384111003,0.3125,0.16888888888888887,0.5,0.4137931034482759,0.888888888888889,0.375,0.5138994816317332,0.503141462802887,0.30104005336761475,
2,9877474,22,20,0.40416334869811066,0.4591798650341881,2.0,0.9090909090909091,0.5497140534527716,0.3,0.10434782608695654,0.22222222222222224,0.5555555555555556,1.0,0.45454545454545453,0.48703118137900747,0.272005170583725,0.3277154564857483,
3,9877475,17,17,0.7342494133983368,0.8708223676400674,0.0,1.0,0.6470376038301123,0.5882352941176471,0.5,1.0,0.7741935483870968,1.0,0.6470588235294118,0.8209677419354839,0.014131641015410423,0.008810989558696747,
4,9877476,26,26,0.6486400386301279,0.7687207219174963,0.0,1.0,0.49972277066060017,0.46153846153846156,0.4761290322580646,1.0,0.5652173913043479,1.0,0.5,0.7430518934081347,0.01315298117697239,0.23562906682491302,
5,9877490,18,18,0.627178533752457,0.8249490015237819,0.0,1.0,0.666637751342023,0.3888888888888889,0.3589285714285714,0.7999999999999999,0.7741935483870968,1.0,0.6666666666666666,0.7527534562211982,0.014781618490815163,0.09031816571950912,
6,9877498,22,22,0.3656988454276107,0.37075822277917503,0.0,1.0,0.5450200589502029,0.4090909090909091,0.14516129032258063,0.0,0.28571428571428575,1.0,0.2727272727272727,0.3790322580645161,0.44376444816589355,0.3035677969455719,
7,9877510,22,21,0.6142244325038628,0.6478310831770696,1.0,0.9545454545454546,0.6189865108909067,0.47619047619047616,0.43981481481481477,0.5714285714285715,0.7368421052631579,1.0,0.5909090909090909,0.6987797777271462,0.010527675040066242,1.1674325466156006,
8,9877526,20,19,0.498910326231667,0.4873673144647409,1.0,0.95,0.6313393567135407,0.3684210526315789,0.2333333333333333,0.25,0.742857142857143,1.0,0.55,0.5941666666666667,0.314797043800354,0.2054716944694519,
9,9877541,24,24,0.6554129648967499,0.7156195752508289,0.0,1.0,0.5416552879099376,0.4583333333333333,0.4678571428571429,0.888888888888889,0.6842105263157894,1.0,0.5416666666666666,0.7608228905597327,0.012055275961756706,0.6039474606513977,
10,9877545,18,18,0.5264517126820023,0.4457077997085673,0.0,1.0,0.6111257569080206,0.4444444444444444,0.2533333333333333,0.6,0.47058823529411764,1.0,0.5,0.5853725490196078,0.4298294484615326,0.11051695048809052,
11,9877546,18,19,0.7142659197466408,0.6620327831834361,1.0,0.9473684210526316,0.6314365423512707,0.6111111111111112,0.6154621848739497,0.7142857142857143,0.7878787878787878,1.0,0.6666666666666666,0.7785492608526664,0.024124370887875557,1.3807973861694336,
